id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,stamp,agreement,claster
22,チェックイン,"毎日、一度はできるといいかなと思っています。
それぞれ自分のタイミングで、書きたい時は是非。",,0,8,false,false,false,2015-12-18 09:40:54,2016-01-05 09:42:54,15,,,,,,
89,,"おはようございます。
早めに豊洲入り。
準備万端！ではないのですが、やはり楽しみにしていた今日を迎えることで、気持ちが上がっております。
待ち望んだ時間が今日あるのではと、うっすらドキドキの朝です。",22,50,8,false,false,false,2016-01-05 09:42:54,2016-01-05 09:42:54,15,,,,false,,
51,,"おはようございます。土曜ですが本日が最終出勤日です。
昼からはフリーなのでしっかり仕事を納めてお正月を迎えたいと思っている次第です。
そろそろ1/5の集合場所と時間くらいは決まるといいな〜。",22,50,13,false,false,false,2015-12-26 08:37:45,2015-12-26 08:37:45,15,,,,false,,
50,,"なんとなく年末感です。
木曽町のようこさんから漬物がたくさん送られてきました。愛ですね。
大根のがめちゃめちゃ美味。
なんか繋がってるー。",22,50,8,false,false,false,2015-12-25 16:47:16,2015-12-25 16:47:16,15,,,,false,,
35,,おはようございます。クリスマス気分で若干ウカレつつ、溜まったデスクワークが気になる通勤電車です。今日こそはやらねば。,22,50,13,false,false,false,2015-12-24 08:20:48,2015-12-24 08:20:48,15,,,,false,,
34,,"おはようございます。
今年最後の出勤電車です。
今年もいろいろあったと思い出しつつも、成長してる？？っと自分に問う気持ちです。
仕事を納める日にしたいと思います。",22,50,8,false,false,false,2015-12-24 08:14:06,2015-12-24 08:14:06,15,,,,false,,
26,,あれ？投稿したら賛成になりました。気持ちが伝わったんでしょうか？？,25,50,13,false,false,false,2015-12-21 13:29:29,2015-12-21 18:59:53,15,,,,false,,
28,,"賛成反対は気にしないでください。
ちょっと気になるかもしれませんが、どんな文かで判断しているようです。",26,50,8,false,false,false,2015-12-21 18:59:53,2015-12-21 18:59:53,15,,,,false,,
25,,"こんにちは。今日は部の忘年会で幹事のため、その準備もあってあまり仕事が手についていません・・・でもちょっとワクワクしてます。
あ、あと、ここに表示される「賛成」「反対」が気になっています。みのっちに対して「反対」の気持ちは全くないんですけどなぜか「反対」が表示されて弁解したい気持ちでいっぱいです笑",22,50,13,false,false,false,2015-12-21 13:28:40,2015-12-21 13:29:29,15,,,,false,,
24,,"おはようございます。
本日は相模湾を眺めながらスタート。
いつも会えない人々とダイアログと称して密会です。
楽しみ。",22,50,8,false,false,false,2015-12-21 09:19:33,2015-12-21 09:19:33,15,image.jpeg,,,false,,
